Tanggal,NTU_Manggar,PH_Manggar,NTU_Teritip,PH_Teritip
2015-12-12,19.3,5.51,,
2015-12-13,15.6,5.47,,
2015-12-14,16.7,5.62,,
2015-12-15,16.3,5.86,,
2015-12-16,13.6,5.55,,
2015-12-17,12.5,5.29,,
2015-12-18,13,5.22,,
2015-12-19,13.3,5.44,,
2015-12-20,12.6,5.38,,
2015-12-21,11.7,5.54,,
2015-12-22,10.6,5.57,,
2015-12-23,12.8,5.72,,
2015-12-24,13.7,5.57,,
2015-12-25,13.8,5.46,,
2015-12-26,13.5,5.51,,
2015-12-27,13.5,5.85,,
2015-12-28,15,5.66,,
2015-12-29,15.1,5.11,,
2015-12-30,13.2,5.58,,
2015-12-31,13.7,5.76,,
2016-01-01,13.9,5.52,,
2016-01-02,14.3,5.57,,
2016-01-03,14.2,5.75,,
2016-01-04,16,5.69,,
2016-01-05,14.8,5.61,,
2016-01-06,25.1,5.84,,
2016-01-07,37.4,5.49,,
2016-01-08,22,5.67,,
2016-01-09,14.7,5.55,,
2016-01-10,15.9,5.59,,
2016-01-11,15.8,5.44,,
2016-01-12,15.8,5.47,,
2016-01-13,17.3,5.65,,
2016-01-14,15.5,5.61,,
2016-01-15,42.9,5.3,,
2016-01-16,51.3,5.27,,
2016-01-17,21.6,5.34,,
2016-01-18,51.3,5.29,,
2016-01-19,70.3,5.21,,
2016-01-20,40.1,5.28,,
2016-01-21,44.1,5.25,,
2016-01-22,33.6,5.32,,
2016-01-23,28,5.19,,
2016-01-24,23.2,5.52,,
2016-01-25,26.9,5.44,,
2016-01-26,24.8,5.43,,
2016-01-27,33.8,5.36,,
2016-01-28,26.5,5.57,,
2016-01-29,27.9,5.55,,
2016-01-30,23.5,5.37,,
2016-01-31,29,5.35,,
2016-03-01,28.2,4.69,,
2016-03-02,29.1,4.89,,
2016-03-03,28.7,4.77,,
2016-03-04,27.1,4.91,,
2016-03-05,23.7,5,,
2016-03-06,23.3,5.1,,
2016-03-07,23.3,5.09,,
2016-03-08,23.5,5.04,,
2016-03-09,26.1,5.17,,
2016-03-10,25.6,4.95,,
2016-03-11,27,5.01,,
2016-03-12,26.6,5.13,,
2016-03-13,35.7,5.07,,
2016-03-14,28.3,5.18,,
2016-03-15,30,5.11,,
2016-03-16,30.4,5.38,,
2016-03-17,29.1,5.28,,
2016-03-18,32.6,5.44,,
2016-03-19,27.4,4.88,,
2016-03-20,43.6,5.09,,
2016-03-21,35.8,5.2,,
2016-03-22,33.3,5.11,,
2016-03-23,33.8,5.17,,
2016-03-24,41.7,5.11,,
2016-03-25,35.2,5.23,,
2016-03-26,38.8,5.37,,
2016-03-27,39,5.2,,
2016-03-28,38.4,5.28,,
2016-03-29,39.5,5.42,,
2016-03-30,38.2,5.41,,
2016-03-31,64.1,5.16,,
2016-04-01,54.3,5.26,,
2016-04-02,64.6,5.03,,
2016-04-03,57.8,5.06,,
2016-04-04,63.9,4.92,,
2016-04-05,56.5,4.92,,
2016-04-06,58.3,4.92,,
2016-04-07,54.4,5.12,,
2016-04-08,53.3,5.26,,
2016-04-09,52.1,5.2,,
2016-04-10,55.4,5.22,,
2016-04-11,56.3,5.48,,
2016-04-12,58.7,5.21,,
2016-04-13,54,5.49,,
2016-04-14,53.5,5.37,,
2016-04-15,56.7,5.52,,
2016-04-16,55.4,5.5,,
2016-04-17,56.88,5.68,,
2016-04-18,52.9,5.8,,
2016-04-19,53.3,5.63,,
2016-04-20,52.3,6.01,,
2016-04-21,50.4,6.29,,
2016-04-22,49.5,5.97,,
2016-04-23,50.5,6.08,,
2016-04-24,51.7,6.05,,
2016-04-25,52.5,5.95,,
2016-04-26,52.5,5.9,,
2016-04-27,52.5,5.9,,
2016-04-28,55.3,5.82,,
2016-04-29,55.8,6.11,,
2016-04-30,67.2,6.2,,
2016-05-01,56.5,6.18,,
2016-05-02,55,6.19,,
2016-05-03,55.2,5.92,,
2016-05-04,54.7,5.98,,
2016-05-05,60.5,6.22,,
2016-05-06,64.3,5.94,,
2016-05-07,62.5,6.1,,
2016-05-08,62,6.19,,
2016-05-09,63.8,5.89,,
2016-05-10,64.8,5.53,,
2016-05-11,62.2,5.79,,
2016-05-12,58.8,6,,
2016-05-13,57.9,6.01,,
2016-05-14,55.4,6.09,,
2016-05-15,54.3,5.91,,
2016-05-16,54.3,5.81,,
2016-05-17,84.7,5.91,,
2016-05-18,56.1,5.92,,
2016-05-19,51.9,5.84,,
2016-05-20,49.2,5.98,,
2016-05-21,50.4,5.76,,
2016-05-22,47.2,5.93,,
2016-05-23,44.9,5.58,,
2016-05-24,47.3,5.84,,
2016-05-25,45.9,6,,
2016-05-26,51.6,5.95,,
2016-05-27,40.2,6.3,,
2016-05-28,43.1,6.11,,
2016-05-29,45.1,6.12,,
2016-05-30,43.9,5.89,,
2016-05-31,42.4,6.17,,
2016-06-01,39.4,6.15,,
2016-06-02,38.3,5.94,,
2016-06-03,37.5,6.19,,
2016-06-04,34.6,6.19,,
2016-06-05,33,6.26,,
2016-06-06,30.5,6.12,,
2016-06-07,31.7,6.3,,
2016-06-08,30.3,6.38,,
2016-06-09,28.7,6.4,,
2016-06-10,27.1,6.41,,
2016-06-11,30.3,6.23,,
2016-06-12,25.9,6.39,,
2016-06-13,29.9,6.23,,
2016-06-14,25.7,6.33,,
2016-06-15,26.1,5.96,,
2016-06-16,25.5,6.28,,
2016-06-17,23.9,6.25,,
2016-06-18,23.3,6.37,,
2016-06-19,22.8,5.92,,
2016-06-20,23.6,5.91,,
2016-06-21,22.8,6.02,,
2016-06-22,23.7,6.02,,
2016-06-23,21.9,6.13,,
2016-06-24,23.2,6.19,,
2016-06-25,19.9,6.35,,
2016-06-26,20.8,6.7,,
2016-06-27,20.2,6.26,,
2016-06-28,23.9,6.41,,
2016-06-29,21.9,6.04,,
2016-06-30,28.9,5.98,,
2016-07-01,25.1,6.86,,
2016-07-02,31.4,6.08,,
2016-07-03,27.3,6.81,,
2016-07-04,29.4,6.41,,
2016-07-05,29.8,6.05,,
2016-07-06,30.5,6.27,,
2016-07-07,29.5,6.14,,
2016-07-08,26.3,6.37,,
2016-07-09,25.8,6.31,,
2016-07-10,23.7,6.27,,
2016-07-11,22.3,6.35,,
2016-07-12,21.6,6.6,,
2016-07-13,23.5,6.4,,
2016-07-14,21,7.2,,
2016-07-15,20.7,7,,
2016-07-16,22.6,7.14,,
2016-07-17,19.3,6.57,,
2016-07-18,25.2,6.5,,
2016-07-19,18.1,6.43,,
2016-07-20,17.2,6.43,,
2016-07-21,15.9,6.42,,
2016-07-22,26.6,6.5,,
2016-07-23,33.6,6.41,,
2016-07-24,52.6,6.53,,
2016-07-25,57,6.48,,
2016-07-26,69.3,6.49,,
2016-07-27,72.6,6.073,,
2016-07-28,73.5,6.28,,
2016-07-29,74.8,6.44,,
2016-07-30,72.5,6.36,,
2016-07-31,73.4,6.21,,
2016-08-01,73.3,6.09,,
2016-08-02,70.6,5.98,,
2016-08-03,66.6,6.14,,
2016-08-04,66.3,6.25,,
2016-08-05,61.8,6.18,,
2016-08-06,61.2,6.17,,
2016-08-07,62.4,6.21,,
2016-08-08,56.5,6.22,,
2016-08-09,56.3,6.21,,
2016-08-10,51.8,6.18,,
2016-08-11,49.4,6.26,,
2016-08-12,49.2,5.98,,
2016-08-13,47.7,6.21,,
2016-08-14,46.8,6.13,,
2016-08-15,45.6,6.19,,
2016-08-16,45.7,6.41,,
2016-08-17,42.9,6.3,,
2016-08-18,42.1,6.34,,
2016-08-19,43.1,6.18,,
2016-08-20,43.5,6.24,,
2016-08-21,37.1,6.35,,
2016-08-22,37.5,6.21,,
2016-08-23,35.1,6.23,,
2016-08-24,34.5,6.29,,
2016-08-25,33.8,6.21,,
